質問,お菓子１,お菓子2,お菓子3,お菓子4,お菓子5,お菓子6,お菓子7,お菓子8
甘いものがすき？,チョコ,ラムネ,飴,クッキー・ビスケット,グミ,ヨーグルト,ゼリー,プリン
辛い物が好き？,スナック,おつまみ,ナッツ,,,,
大勢で食べる？,スナック,チョコ,おつまみ,クッキー・ビスケット,,,,
手は汚れても大丈夫？,スナック,チョコ,,,,,,
勉強しながら食べる？,ラムネ,飴,グミ,,,,,
小分けがよい？,飴,チョコ,グミ,,,,,
持ち運びますか？,飴,ラムネ,ナッツ,グミ,,,,
お酒のお供として食べますか？,スナック,おつまみ,,,,,,
満腹感が欲しいですか？,スナック,クッキー・ビスケット,,,,,,
外でたべますか？,ラムネ,スナック,クッキー・ビスケット,,,,,
歯ごたえが欲しいですか？,ナッツ,クッキー・ビスケット,,,,,,
カロリーは気にしますか？,ラムネ,ヨーグルト,,,,,,
香りがいいものが良いですか？,チョコ,クッキー・ビスケット,,,,,,
口に残るものが良いですか？,飴,ラムネ,,,,,,
ゆっくり食べる時間がある？,スナック,クッキー・ビスケット,,,,,,
冷蔵できますか？,ゼリー,ヨーグルト,プリン,チョコ,,,,
